taxon_id	name	full_name	family	n_proteins	n_interactions
28280	HAdV-4	Human adenovirus 4	Adenoviridae	3	6
3052729	BPIV3	Respirovirus bovis	Paramyxoviridae	3	6
11840	GALV	Gibbon ape leukemia virus	Retroviridae	2	6
290008	ISFV	Isfahan virus	Rhabdoviridae	1	6
194965	AiV-B1	Kobuvirus bejaponia	Picornaviridae	1	6
10794	MVM	Minute virus of mice	Parvoviridae	2	6
333762	HPV26	Human papillomavirus type 26	Papillomaviridae	1	6
565995	BDBV	Bundibugyo virus	Filoviridae	3	5
11023	MIDV	Middelburg virus	Togaviridae	3	5
1511084	FLUDV	Influenza D virus	Orthomyxoviridae	2	5
374989	ONNV	O'nyong-nyong virus strain SG650	Togaviridae	3	5
12092	HAV	Hepatovirus A	Picornaviridae	4	5
1239574	MAstV10	Mamastrovirus 10	Astroviridae	1	5
694007	Ty-BatCoV_HKU4	Tylonycteris bat coronavirus HKU4	Coronaviridae	3	5
11855	MPMV	Mason-Pfizer monkey virus	Retroviridae	3	5
11590	TOS	Toscana virus	Phenuiviridae	2	5
138949	EV-B	Enterovirus B	Picornaviridae	4	5
10584	HPV2a	Human papillomavirus type 2a	Papillomaviridae	1	5
39720	WDSV	Walleye dermal sarcoma virus	Retroviridae	2	5
11283	VSNJV	Vesicular stomatitis virus (serotype New Jersey / strain Ogden)	Rhabdoviridae	1	5
1714621	BoDV-1	Borna disease virus 1	Bornaviridae	3	4
1586324	PoCoV_HKU15	Porcine deltacoronavirus	Coronaviridae	3	4
249584	WCBV	Lyssavirus caucasicus	Rhabdoviridae	1	4
2779844	MmPV1	Macaca mulata papillomavirus 1	Papillomaviridae	1	4
11021	EEEV-NA	Eastern equine encephalitis virus	Togaviridae	4	4
36370	JDV	Jembrana disease virus	Retroviridae	2	4
654925	EhV86	Emiliania huxleyi virus 86 (isolate United Kingdom)	Phycodnaviridae	3	4
1763596	GTV	Guertu virus	Phenuiviridae	2	4
3052311	LATV	Mammarenavirus latinum	Arenaviridae	2	4
862909	TSPyV	Trichodysplasia spinulosa-associated polyomavirus	Polyomaviridae	3	4
1216928	HRTV	Heartland virus	Phenuiviridae	2	4
57482	EBLV1	European bat lyssavirus 1	Rhabdoviridae	2	4
1221391	CedPV	Cedar virus	Paramyxoviridae	2	4
1511892	AAV5	Dependoparvovirus mammalian1	Parvoviridae	2	4
928296	Borna disease virus-V	Borna disease virus-V	Bornaviridae	3	4
10493	FV3	Frog virus 3	Iridoviridae	4	4
11241	RDV	Rinderpest morbillivirus	Paramyxoviridae	3	4
10334	FeAHV1	Felid alphaherpesvirus 1	Orthoherpesviridae	1	4
99000	YLDV	Tanapox virus	Poxviridae	4	4
3052317	MACV	Mammarenavirus machupoense	Arenaviridae	3	4
85618	AtGHV3	Ateline gammaherpesvirus 3	Orthoherpesviridae	1	4
207343	BFoV	Bovine foamy virus	Retroviridae	1	4
162013	TioV	Tioman virus	Paramyxoviridae	1	4
1605972	RHVP	Cricetid gammaherpesvirus 2	Orthoherpesviridae	1	3
10269	SPV	Sheeppox virus KS-1	Poxviridae	2	3
11660	CAEV	Caprine arthritis encephalitis virus	Retroviridae	2	3
11864	ALV	Avian leukosis virus	Retroviridae	2	3
10599	HPV5b	Human papillomavirus - 5b	Papillomaviridae	3	3
2708335	Pangolin coronavirus	Pangolin coronavirus	Coronaviridae	3	3
292349	FCV	Feline calicivirus (strain Urbana)	Caliciviridae	2	3
2560526	HPIV4	Human orthorubulavirus 4	Paramyxoviridae	2	3
3052499	SNV	Orthohantavirus sinnombreense	Hantaviridae	3	3
28873	CMPV	Camelpox virus	Poxviridae	2	3
249583	IRKV	Lyssavirus irkut	Rhabdoviridae	1	3
304399	DPV	Mule deerpox virus	Poxviridae	2	3
12730	HPIV-1	Human respirovirus 1	Paramyxoviridae	2	3
3052343	PPRV	Morbillivirus caprinae	Paramyxoviridae	2	3
3052562	PorPV	Orthorubulavirus suis	Paramyxoviridae	2	3
1803956	HPeV-1	Parechovirus A	Picornaviridae	3	3
11809	MoMSV	Moloney murine sarcoma virus	Retroviridae	2	3
12639	DHBV	Duck hepatitis B virus	Hepadnaviridae	2	3
11029	RRV	Ross River virus	Togaviridae	2	3
3047383	AcMNPV	Alphabaculovirus aucalifornicae	Baculoviridae	3	3
3052314	LUJV	Mammarenavirus lujoense	Arenaviridae	2	3
11884	Y73SV	Y73 sarcoma virus	Retroviridae	1	3
3052299	SBAV	Mammarenavirus brazilense	Arenaviridae	2	3
654926	EsV1	Ectocarpus siliculosus virus 1 (isolate Kaikoura)	Phycodnaviridae	3	3
11039	WEEV	Western equine encephalitis virus	Togaviridae	2	3
36427	RVC	Rotavirus C	Sedoreoviridae	3	3
12721	HIV	Human immunodeficiency virus	Retroviridae	1	3
28321	AmEPV	Betaentomopoxvirus amoorei	Poxviridae	2	3
11319	DHOV	Dhori virus (strain Indian/1313/61)	Orthomyxoviridae	2	3
649604	BAV	Banna virus strain JKT-6423	Sedoreoviridae	1	3
11746	JSRV	Jaagsiekte sheep retrovirus	Retroviridae	1	3
11020	BFV	Barmah Forest virus	Togaviridae	1	3
3052181	MLAV	Dianlovirus menglaense	Filoviridae	2	3
38766	LBV	Lyssavirus lagos	Rhabdoviridae	1	3
111470	DRV	Diaporthe ambigua RNA virus 1	Ambiguiviridae	1	2
11247	BRSV	Bovine respiratory syncytial virus ATCC51908	Pneumoviridae	2	2
10617	HPV4	Human papillomavirus 4	Papillomaviridae	2	2
39002	PUUV	Puumala virus sotkamo/v-2969/81	Hantaviridae	1	2
356664	XMRV-VP42	Xenotropic MuLV-related virus VP42	Retroviridae	2	2
332054	TnSNPV	Trichoplusia ni single nucleopolyhedrovirus	Baculoviridae	1	2
928314	YMTV	Yaba monkey tumor virus strain VR587	Poxviridae	2	2
31547	HPV20	Human papillomavirus 20	Papillomaviridae	2	2
10385	BHV-4	Bovine gammaherpesvirus 4	Orthoherpesviridae	2	2
1508710	RBHBV	Roundleaf bat hepatitis B virus	Hepadnaviridae	2	2
2269360	Alongshan virus	Alongshan virus	Flaviviridae	1	2
11080	SLEV	St. Louis encephalitis virus	Flaviviridae	2	2
11156	BEV	Berne virus	Tobaniviridae	2	2
10553	CELO	Fowl aviadenovirus 1	Adenoviridae	1	2
10276	SWPV	Swinepox virus	Poxviridae	2	2
226613	RRV-bv	Reptilian orthoreovirus	Spinareoviridae	1	2
331642	N1V	Newbury agent 1	Caliciviridae	2	2
10620	HPV7	Human papillomavirus type 7	Papillomaviridae	2	2
348136	Human rotavirus B219	Human rotavirus B219	Sedoreoviridae	2	2
38143	SHFV	Simian hemorrhagic fever virus	Arteriviridae	1	2
654923	ISKNV	Infectious spleen and kidney necrosis virus (isolate Nanhai)	Iridoviridae	2	2
2847087	GBV-B	GB virus-B	Hepaciviridae	1	2
228578	YoMV	Youcai mosaic virus	Virgaviridae	2	2
35612	VESV	Vesicular exanthema of swine virus	Caliciviridae	2	2
2032731	Swine acute diarrhea syndrome coronavirus	Swine acute diarrhea syndrome coronavirus	Coronaviridae	1	2
652954	AMPV	Avian metapneumovirus 15a	Pneumoviridae	2	2
152219	MenV	Menangle virus	Paramyxoviridae	1	2
10592	HPV44	Human papillomavirus 44	Papillomaviridae	1	2
10605	HPV14	Human papillomavirus 14	Papillomaviridae	1	2
59300	GETV	Getah virus	Togaviridae	1	2
746830	HPyV6	Human polyomavirus 6	Polyomaviridae	1	2
11580	SSHV	Snowshoe hare virus	Peribunyaviridae	1	2
3052559	MapV	Orthorubulavirus mapueraense	Paramyxoviridae	1	2
10506	PBCV-1	Paramecium bursaria Chlorella virus 1	Phycodnaviridae	2	2
3052307	GTOV	Mammarenavirus guanaritoense	Arenaviridae	1	2
1891729	HaPyV	Alphapolyomavirus mauratus	Polyomaviridae	1	2
1425211	SAFV-2	Saffold virus 2	Picornaviridae	1	2
12131	HRV-14	Rhinovirus B14	Picornaviridae	1	2
3052302	CHAPV	Mammarenavirus chapareense	Arenaviridae	1	2
68887	TTV	Torque teno virus	Anelloviridae	1	2
222645	HF1	Haloferacalesvirus HF1	Hafunaviridae	1	2
211977	ARAV	Lyssavirus aravan	Rhabdoviridae	1	2
2045491	Swine enteric alphacoronavirus	Swine enteric alphacoronavirus	Coronaviridae	1	2
262968	SGIV	Singapore grouper iridovirus	Iridoviridae	2	2
